trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.6, 'e': 0.17728440996987782}",20,9,17.64993275731462,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.1755204006169969}",25,13,19.02806662894115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.6, 'e': 0.17377394345044514}",20,5,24.773256393301285,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.6, 'e': 0.17204486382305054}",25,2,37.51771058833236,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.6, 'e': 0.17033298882540945}",30,8,42.064197070106495,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.16863814726859552}",25,15,21.207653374665117,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.16696016966704072}",30,22,15.237530099026978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.16529888822158656}",20,0,31.71651697628182,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.6, 'e': 0.16365413680270408}",30,19,21.084241716295534,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.16202575093388077}",25,12,22.824533725000588,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.16041356777517277}",20,3,25.52217394679099,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.6, 'e': 0.1588174261069207}",20,0,30.548470750724444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.6, 'e': 0.1572371663136276}",25,13,23.94923398089356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.6, 'e': 0.1556726303679973}",20,7,22.830458965650664,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.6, 'e': 0.15412366181513143}",20,5,27.40136130450066,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.6, 'e': 0.15259010575688386}",20,0,32.86939421883288,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.6, 'e': 0.15107180883637084}",25,0,36.264283737369794,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.6, 'e': 0.14956861922263504}",25,7,26.088032478726795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.6, 'e': 0.14808038659546244}",20,0,27.418136679506304,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.6, 'e': 0.14660696213035015}",20,0,28.94850487249174,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.6, 'e': 0.14514819848362376}",35,5,31.068252720001567,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.6, 'e': 0.14370394977770296}",30,20,18.302794263128554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.6, 'e': 0.1422740715865136}",20,9,16.657807483081864,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.6, 'e': 0.140858420921045}",20,1,28.977036787542644,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.6, 'e': 0.13945685621505094}",20,0,-10.165552676193506,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
198,False,"{'a': 0.6, 'e': 0.13806923731089282}",30,12,26.98073029605665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.6, 'e': 0.13669542544552388}",25,11,24.604265216531687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
